"link","body","objectType","postedTime","favoritesCount","twitter_lang","retweetCount","actor_id","actor_displayName","actor_image","actor_summary","actor_postedTime","actor_location","actor_utcOffset","actor_preferredUsername","actor_friendsCount","actor_followersCount","actor_listedCount","actor_statusesCount","actor_verified","inReplyTo_link","geo","twitter_entities","location_geo","location_name","the_geom"
"http://twitter.com/elgatnegre007/statuses/783331591980453889","La negativa del comitè federal del PSOE a què Sánchez pugui presidir el govern espanyol amb el suport dels catalans demostra com ens estimen","activity","2016-10-04T15:42:59.000Z","12","und","11","id:twitter.com:421801052","El Gat Negre","https://pbs.twimg.com/profile_images/419883981077622784/A9d0YrA6_normal.png","Ciutadà del Principat de Catalunya. Defensor de la plena sobirania del Poble de Catalunya, sotmès a un sistema polític estranger per dret de conquesta.","2011-11-26T11:51:28.000Z",,"7200","elgatnegre007","4980","5633","49","23780","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[],""symbols"":[]}",,,""
"http://twitter.com/__chito/statuses/783331590583779328","RT @japtapias: Ahora oigo hablar de una supuesta ""podemización"" del @PSOE... ¡Oye, no decían nada cuando la contaminación neoliberal!","activity","2016-10-04T15:42:59.000Z","0","es","854","id:twitter.com:590088407","raul alonso","https://pbs.twimg.com/profile_images/3041021155/080086ed20c694de9f5b7fac64e18faa_normal.jpeg",,"2012-05-25T15:40:21.000Z",,"10800","__chito","588","235","0","11216","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""japtapias"",""name"":""JA Pérez Tapias"",""id"":73350229,""id_str"":""73350229"",""indices"":[3,13]},{""screen_name"":""PSOE"",""name"":""PSOE"",""id"":50982086,""id_str"":""50982086"",""indices"":[68,73]}],""symbols"":[]}",,,""
"http://twitter.com/CarlosDenda/statuses/783331588809580544","Por llamar corruptos a la derecha ya todos incluso votantes,  se olvida del asalto al dinero de los parados del… https://t.co/PaPypufhbP","activity","2016-10-04T15:42:59.000Z","0","es","0","id:twitter.com:398858479","Carlos","https://pbs.twimg.com/profile_images/741193194365440000/5e5CcTf3_normal.jpg","Todo empieza por la libertad del individuo con el respeto a los demás..","2011-10-26T17:02:43.000Z",,"7200","CarlosDenda","340","256","10","9521","false",,,"{""hashtags"":[],""urls"":[{""url"":""https://t.co/PaPypufhbP"",""expanded_url"":""https://twitter.com/i/web/status/783331588809580544"",""display_url"":""twitter.com/i/web/status/7…"",""indices"":[113,136]}],""user_mentions"":[],""symbols"":[]}",,,""
"http://twitter.com/carollm333/statuses/783331583910678528","RT @japtapias: Ahora toca humillar: ""Rivera llama al presidente de la gestora del PSOE para ofrecerse como mediador con el PP"" https://t.co…","activity","2016-10-04T15:42:57.000Z","0","es","405","id:twitter.com:246912717","Denis","https://pbs.twimg.com/profile_images/746791770864947200/qq5dDNkv_normal.jpg",,"2011-02-03T18:29:06.000Z",,"-25200","carollm333","644","861","53","88649","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""japtapias"",""name"":""JA Pérez Tapias"",""id"":73350229,""id_str"":""73350229"",""indices"":[3,13]}],""symbols"":[]}",,,""
"http://twitter.com/PopularesCeuta/statuses/783331582270640128","RT @Rafa_Hernando: Nosotros volvemos a ofrecer posibilidad de acuerdo al PSOE y continuamos abiertos al diálogo https://t.co/5ENMYceqOd","activity","2016-10-04T15:42:57.000Z","0","es","66","id:twitter.com:612517097","Populares Ceuta","https://pbs.twimg.com/profile_images/712593798568808448/mlwzjeG0_normal.jpg","Partido Popular de Ceuta. Twitter Oficial. https://t.co/kX4n9BO9Wd https://t.co/gdkDfBhbgp","2012-06-19T12:32:58.000Z","{""objectType"":""place"",""displayName"":""Ceuta""}","7200","PopularesCeuta","4823","2126","27","7362","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""Rafa_Hernando"",""name"":""Rafael Hernando"",""id"":380456440,""id_str"":""380456440"",""indices"":[3,17]}],""symbols"":[],""media"":[{""id"":783251166226485248,""id_str"":""783251166226485248"",""indices"":[112,135],""media_url"":""http://pbs.twimg.com/media/Ct6qySzXEAAFzsC.jpg"",""media_url_https"":""https://pbs.twimg.com/media/Ct6qySzXEAAFzsC.jpg"",""url"":""https://t.co/5ENMYceqOd"",""display_url"":""pic.twitter.com/5ENMYceqOd"",""expanded_url"":""https://twitter.com/Rafa_Hernando/status/783251173696540673/photo/1"",""type"":""photo"",""sizes"":{""medium"":{""w"":1200,""h"":900,""resize"":""fit""},""large"":{""w"":1280,""h"":960,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":680,""h"":510,""resize"":""fit""}},""source_status_id"":783251173696540673,""source_status_id_str"":""783251173696540673"",""source_user_id"":380456440,""source_user_id_str"":""380456440""}]}",,,"{""coordinates"":[-5.3075,35.89028],""type"":""point""}"
"http://twitter.com/vpartal/statuses/783331566881804288","Ximo Puig creu que el PSOE ha de facilitar la investidura de Rajoy  https://t.co/AFpobWNWVw","activity","2016-10-04T15:42:53.000Z","0","und","1","id:twitter.com:40652687","Vicent Partal","https://pbs.twimg.com/profile_images/765016642153832450/j9UhwTFd_normal.jpg","Director de VilaWeb. De Bétera. Sempre dic el que pense i n'assumisc les conseqüències.  Chairman of the Board of the @ejcnet","2009-05-17T12:40:14.000Z",,"7200","vpartal","28950","63164","1449","39597","false",,,"{""hashtags"":[],""urls"":[{""url"":""https://t.co/AFpobWNWVw"",""expanded_url"":""http://www.vilaweb.cat/noticies/ximo-puig-creu-que-el-psoe-ha-de-facilitar-la-investidura-de-rajoy/"",""display_url"":""vilaweb.cat/noticies/ximo-…"",""indices"":[68,91]}],""user_mentions"":[],""symbols"":[]}",,,""
"http://twitter.com/croquetadesatan/statuses/783331566130962433","RT @eljueves: Felipe González lanza un ataque al PSOE ¡Es muy efectivo! PSOE está tan confuso que se hiere a sí mismo...","activity","2016-10-04T15:42:53.000Z","0","es","427","id:twitter.com:3332996884","das Gift","https://pbs.twimg.com/profile_images/782675797899370496/CJubtpdl_normal.jpg","Todo el mundo se merece que lo mate","2015-06-18T16:36:39.442Z","{""objectType"":""place"",""displayName"":""lejos de aquí""}","-25200","croquetadesatan","45","47","2","1499","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""eljueves"",""name"":""El Jueves"",""id"":17191272,""id_str"":""17191272"",""indices"":[3,12]}],""symbols"":[]}",,,"{""coordinates"":[-65.29712,-24.19456],""type"":""point""}"
"http://twitter.com/merce_blitz/statuses/783331562125393920","RT @carolacaracola5: Una mayoría de diputados del PSOE se declaran contrarios a otras elecciones https://t.co/i6g9CsFGSj","activity","2016-10-04T15:42:52.000Z","0","es","2","id:twitter.com:4833594628","Mercè Blitz","https://pbs.twimg.com/profile_images/690249496119394304/Z_X0rV8t_normal.jpg",,"2016-01-21T18:59:40.149Z","{""objectType"":""place"",""displayName"":""Barcelona ""}",,"merce_blitz","200","732","131","112093","false",,,"{""hashtags"":[],""urls"":[{""url"":""https://t.co/i6g9CsFGSj"",""expanded_url"":""http://politica.elpais.com/politica/2016/10/04/actualidad/1475567716_287670.html"",""display_url"":""politica.elpais.com/politica/2016/…"",""indices"":[97,120]}],""user_mentions"":[{""screen_name"":""carolacaracola5"",""name"":""Caracola #EnMarea"",""id"":2770107689,""id_str"":""2770107689"",""indices"":[3,19]}],""symbols"":[]}",,,"{""coordinates"":[2.15899,41.38879],""type"":""point""}"
"http://twitter.com/antoniaamoraga1/statuses/783331551408951297","RT @ecorepublicano: Javier Fernández, presidente de la gestora, acusa a Pedro Sánchez de haber ""podemizado"" al PSOE https://t.co/AdpbuvlQ3I…","activity","2016-10-04T15:42:50.000Z","0","es","38","id:twitter.com:2744533323","Toñi","https://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png",,"2014-08-16T16:57:51.510Z",,,"antoniaamoraga1","81","214","21","36826","false",,,"{""hashtags"":[],""urls"":[{""url"":""https://t.co/AdpbuvlQ3I"",""expanded_url"":""http://www.ecorepublicano.es/2016/10/javier-fernandez-presidente-de-la.html"",""display_url"":""ecorepublicano.es/2016/10/javier…"",""indices"":[116,139]}],""user_mentions"":[{""screen_name"":""ecorepublicano"",""name"":""Eco Republicano"",""id"":303760268,""id_str"":""303760268"",""indices"":[3,18]}],""symbols"":[]}",,,""
"http://twitter.com/merce_blitz/statuses/783331549660012548","RT @japtapias: Chantaje para evitar elecciones""PP exigirá a PSOE apoye presupuestos si decide abstenerse para no repetir elecciones https:/…","activity","2016-10-04T15:42:49.000Z","0","es","243","id:twitter.com:4833594628","Mercè Blitz","https://pbs.twimg.com/profile_images/690249496119394304/Z_X0rV8t_normal.jpg",,"2016-01-21T18:59:40.149Z","{""objectType"":""place"",""displayName"":""Barcelona ""}",,"merce_blitz","200","732","131","112093","false",,,"{""hashtags"":[],""urls"":[],""user_mentions"":[{""screen_name"":""japtapias"",""name"":""JA Pérez Tapias"",""id"":73350229,""id_str"":""73350229"",""indices"":[3,13]}],""symbols"":[]}",,,"{""coordinates"":[2.15899,41.38879],""type"":""point""}"